game_id,play_id,player_to_predict,nfl_id,play_direction,absolute_yardline_number,player_name,player_height,player_weight,player_birth_date,player_position,player_side,player_role,x,y,s,a,dir,o,num_frames_output,ball_land_x,ball_land_y,game_play,frame_id_total,frame,x_next,y_next
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.42,0.04,0.41,343.71,66.02,18.0,74.6399993896484,4.98999977111816,2023110500_1102,1,pre,49.24,12.43
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.43,0.1,0.51,2.28,69.18,18.0,74.6399993896484,4.98999977111816,2023110500_1102,2,pre,49.24,12.46
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.46,0.32,1.1,0.92,73.59,18.0,74.6399993896484,4.98999977111816,2023110500_1102,3,pre,49.24,12.49
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.49,0.43,1.27,1.79,76.49,18.0,74.6399993896484,4.98999977111816,2023110500_1102,4,pre,49.24,12.57
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.57,0.84,2.09,0.19,83.07,18.0,74.6399993896484,4.98999977111816,2023110500_1102,5,pre,49.24,12.67
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.67,1.09,2.13,357.85,94.31,18.0,74.6399993896484,4.98999977111816,2023110500_1102,6,pre,49.24,12.79
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,12.79,1.33,2.01,356.58,107.68,18.0,74.6399993896484,4.98999977111816,2023110500_1102,7,pre,49.23,12.94
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.23,12.94,1.62,1.98,358.28,115.4,18.0,74.6399993896484,4.98999977111816,2023110500_1102,8,pre,49.24,13.11
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.24,13.11,1.88,1.89,2.56,121.42,18.0,74.6399993896484,4.98999977111816,2023110500_1102,9,pre,49.26,13.31
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.26,13.31,2.18,2.6,8.52,133.79,18.0,74.6399993896484,4.98999977111816,2023110500_1102,10,pre,49.3,13.54
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.3,13.54,2.57,3.41,15.17,132.93,18.0,74.6399993896484,4.98999977111816,2023110500_1102,11,pre,49.39,13.8
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.39,13.8,2.96,3.81,24.64,132.93,18.0,74.6399993896484,4.98999977111816,2023110500_1102,12,pre,49.54,14.07
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.54,14.07,3.31,3.7,31.05,127.03,18.0,74.6399993896484,4.98999977111816,2023110500_1102,13,pre,49.75,14.35
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,49.75,14.35,3.66,3.94,39.74,112.84,18.0,74.6399993896484,4.98999977111816,2023110500_1102,14,pre,50.03,14.63
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,50.03,14.63,4.1,4.46,47.59,121.42,18.0,74.6399993896484,4.98999977111816,2023110500_1102,15,pre,50.37,14.91
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,50.37,14.91,4.58,4.78,52.73,118.61,18.0,74.6399993896484,4.98999977111816,2023110500_1102,16,pre,50.77,15.18
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,50.77,15.18,5.03,4.52,57.38,112.43,18.0,74.6399993896484,4.98999977111816,2023110500_1102,17,pre,51.22,15.45
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,51.22,15.45,5.4,4.02,60.95,103.22,18.0,74.6399993896484,4.98999977111816,2023110500_1102,18,pre,51.72,15.7
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,51.72,15.7,5.7,3.75,65.07,92.35,18.0,74.6399993896484,4.98999977111816,2023110500_1102,19,pre,52.28,15.91
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,52.28,15.91,6.13,4.12,70.01,91.72,18.0,74.6399993896484,4.98999977111816,2023110500_1102,20,pre,52.89,16.11
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,52.89,16.11,6.49,3.87,73.49,86.58,18.0,74.6399993896484,4.98999977111816,2023110500_1102,21,pre,53.53,16.28
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,53.53,16.28,6.73,3.27,76.36,79.43,18.0,74.6399993896484,4.98999977111816,2023110500_1102,22,pre,54.2,16.41
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,54.2,16.41,6.99,3.14,79.8,70.76,18.0,74.6399993896484,4.98999977111816,2023110500_1102,23,pre,54.91,16.51
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,54.91,16.51,7.3,3.38,82.99,73.89,18.0,74.6399993896484,4.98999977111816,2023110500_1102,24,pre,55.65,16.6
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,55.65,16.6,7.6,3.65,85.01,78.29,18.0,74.6399993896484,4.98999977111816,2023110500_1102,25,pre,56.42,16.65
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,56.42,16.65,7.83,3.12,87.37,78.29,18.0,74.6399993896484,4.98999977111816,2023110500_1102,26,pre,57.21,16.67
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,57.21,16.67,7.91,2.63,89.84,81.37,18.0,74.6399993896484,4.98999977111816,2023110500_1102,27,pre,58.0,16.65
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,58.0,16.65,8.05,2.49,92.06,104.26,18.0,74.6399993896484,4.98999977111816,2023110500_1102,28,pre,58.81,16.61
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,58.81,16.61,8.15,2.43,94.22,131.41,18.0,74.6399993896484,4.98999977111816,2023110500_1102,29,pre,59.63,16.54
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,59.63,16.54,8.19,2.54,96.58,150.61,18.0,74.6399993896484,4.98999977111816,2023110500_1102,30,pre,60.44,16.42
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,60.44,16.42,8.23,2.77,99.34,159.83,18.0,74.6399993896484,4.98999977111816,2023110500_1102,31,pre,61.25,16.26
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,61.25,16.26,8.25,3.2,102.69,161.72,18.0,74.6399993896484,4.98999977111816,2023110500_1102,32,pre,62.05,16.06
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,62.05,16.06,8.28,3.53,105.69,176.44,18.0,74.6399993896484,4.98999977111816,2023110500_1102,33,pre,62.85,15.81
2023110500,1102,True,43454,right,51.0,Tyreek Hill,5-10,185.0,1994-03-01,WR,Offense,Targeted Receiver,62.85,15.81,8.38,3.69,109.06,181.89,18.0,74.6399993896484,4.98999977111816,2023110500_1102,34,pre,63.64,15.51
2023110500,1102,,43454,,,,,,,,,,63.64,15.51,,,,,,,,2023110500_1102,35,post,64.42,15.15
2023110500,1102,,43454,,,,,,,,,,64.42,15.15,,,,,,,,2023110500_1102,36,post,65.19,14.75
2023110500,1102,,43454,,,,,,,,,,65.19,14.75,,,,,,,,2023110500_1102,37,post,65.94,14.31
2023110500,1102,,43454,,,,,,,,,,65.94,14.31,,,,,,,,2023110500_1102,38,post,66.68,13.82
2023110500,1102,,43454,,,,,,,,,,66.68,13.82,,,,,,,,2023110500_1102,39,post,67.4,13.3
2023110500,1102,,43454,,,,,,,,,,67.4,13.3,,,,,,,,2023110500_1102,40,post,68.11,12.74
2023110500,1102,,43454,,,,,,,,,,68.11,12.74,,,,,,,,2023110500_1102,41,post,68.81,12.15
